date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:04	9468/9468	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2002:54:03%20GMT	https://m-kredited-flexicard.bubbleapps.io/version-test/home	/storage/emulated/0/HTTrack/Websites/linkkredivo/m-kredited-flexicard.bubbleapps.io/version-test/home.html	(from )
09:54:05	58/58	---MCZ	200	added ('OK')	text/plain	date:Mon,%2026%20Sep%202022%2002:54:04%20GMT	https://m-kredited-flexicard.bubbleapps.io/robots.txt		(from )
09:54:06	23813/23813	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Sep%202022%2002:54:05%20GMT	https://m-kredited-flexicard.bubbleapps.io/package/early_js/c5bcb2b703c12cc31e5a643f3beafacd0fd83738d617fb5a9a2b524326bd2d5b/xfalse/early.js	/storage/emulated/0/HTTrack/Websites/linkkredivo/m-kredited-flexicard.bubbleapps.io/package/early_js/c5bcb2b703c12cc31e5a643f3beafacd0fd83738d617fb5a9a2b524326bd2d5b/xfalse/early.js	(from https://m-kredited-flexicard.bubbleapps.io/version-test/home)
09:54:06	9469/9469	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Sep%202022%2002:54:06%20GMT	https://m-kredited-flexicard.bubbleapps.io/version-test/GET	/storage/emulated/0/HTTrack/Websites/linkkredivo/m-kredited-flexicard.bubbleapps.io/version-test/GET	(from https://m-kredited-flexicard.bubbleapps.io/version-test/home)
09:54:10	20586/20586	---M--	200	added ('OK')	image/png	etag:%22d5d7c49a74502dbd01195f42fefc13c9%22	https://dd7tel2830j4w.cloudfront.net/f1530294839424x143528842134401200/Icon-no-clearspace.png	/storage/emulated/0/HTTrack/Websites/linkkredivo/dd7tel2830j4w.cloudfront.net/f1530294839424x143528842134401200/Icon-no-clearspace.png	(from https://m-kredited-flexicard.bubbleapps.io/version-test/home)
09:54:12	210633/210633	---M--	200	added ('OK')	image/png	etag:%224abe577db68767be01835fee0b85d8c8%22	https://dd7tel2830j4w.cloudfront.net/f1578495816588x646815646347334700/Bubble%20Tags.png	/storage/emulated/0/HTTrack/Websites/linkkredivo/dd7tel2830j4w.cloudfront.net/f1578495816588x646815646347334700/Bubble%20Tags.png	(from https://m-kredited-flexicard.bubbleapps.io/version-test/home)
09:54:13	79274/79274	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Sep%202022%2002:54:12%20GMT	https://m-kredited-flexicard.bubbleapps.io/package/run_css/e2631555844483e240464223e35bf17cfe0fabdcd67a02221afc2ca479d46a3d/m-kredited-flexicard/test/home/xfalse/xfalse/run.css	/storage/emulated/0/HTTrack/Websites/linkkredivo/m-kredited-flexicard.bubbleapps.io/package/run_css/e2631555844483e240464223e35bf17cfe0fabdcd67a02221afc2ca479d46a3d/m-kredited-flexicard/test/home/xfalse/xfalse/run.css	(from https://m-kredited-flexicard.bubbleapps.io/version-test/home)
09:54:15	255505/255505	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Sep%202022%2002:54:14%20GMT	https://m-kredited-flexicard.bubbleapps.io/package/static_js/c7feb175d18ebd7942d613f296c484f795a0e9679923b2b463d70583fdcb7bca/m-kredited-flexicard/test/home/xnull/xfalse/xfalse/xtrue/static.js	/storage/emulated/0/HTTrack/Websites/linkkredivo/m-kredited-flexicard.bubbleapps.io/package/static_js/c7feb175d18ebd7942d613f296c484f795a0e9679923b2b463d70583fdcb7bca/m-kredited-flexicard/test/home/xnull/xfalse/xfalse/xtrue/static.js	(from https://m-kredited-flexicard.bubbleapps.io/version-test/home)
09:54:15	3150126/3150126	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Sep%202022%2002:54:13%20GMT	https://m-kredited-flexicard.bubbleapps.io/package/run_js/80504dfaa1faaff90bc0ad6ff805a0abd3bf25b07ae7d9d5753e61c64096b045/xtrue/x17/run.js	/storage/emulated/0/HTTrack/Websites/linkkredivo/m-kredited-flexicard.bubbleapps.io/package/run_js/80504dfaa1faaff90bc0ad6ff805a0abd3bf25b07ae7d9d5753e61c64096b045/xtrue/x17/run.js	(from https://m-kredited-flexicard.bubbleapps.io/version-test/home)
09:54:15	9470/9470	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Sep%202022%2002:54:15%20GMT	https://m-kredited-flexicard.bubbleapps.io/version-test/POST	/storage/emulated/0/HTTrack/Websites/linkkredivo/m-kredited-flexicard.bubbleapps.io/version-test/POST.9.delayed	(from https://m-kredited-flexicard.bubbleapps.io/version-test/home)
